,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
699,7,5,0,0,0,0,47
700,10,1,0,0,0,0,47
701,10,2,0,0,0,0,47
702,10,3,0,0,0,12,47
703,10,4,0,0,0,950,47
704,10,5,0,0,0,938,47
705,4,1,2,0,2,0,48
706,4,2,1,0,1,0,48
707,4,3,3,0,3,0,48
708,4,4,2,0,2,1,48
709,4,5,2,0,2,1,48
710,7,1,0,0,0,0,48
711,7,2,0,0,0,3,48
712,7,3,0,0,0,10,48
713,7,4,0,0,0,88,48
714,7,5,0,0,0,0,48
715,10,1,0,0,0,0,48
716,10,2,0,0,0,0,48
717,10,3,0,0,0,208,48
718,10,4,0,0,0,81,48
719,10,5,0,0,0,922,48
720,4,1,0,0,0,0,49
721,4,2,0,0,0,0,49
722,4,3,0,0,0,5,49
723,4,4,0,0,0,2,49
724,4,5,1,0,1,0,49
725,7,1,0,0,0,0,49
726,7,2,0,0,0,41,49
727,7,3,0,0,0,87,49
728,7,4,0,0,0,31,49
729,7,5,0,0,0,0,49
730,10,1,0,0,0,0,49
