,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
688,10,4,951,70,881,48,46
689,10,5,487,66,421,10,46
690,4,1,0,0,0,0,47
691,4,2,4,0,4,2,47
692,4,3,5,0,5,2,47
693,4,4,1,0,1,3,47
694,4,5,3,0,3,1,47
695,7,1,0,0,0,0,47
696,7,2,0,0,0,0,47
697,7,3,92,20,72,14,47
698,7,4,103,23,80,10,47
699,7,5,0,0,0,0,47
700,10,1,0,0,0,0,47
701,10,2,0,0,0,0,47
702,10,3,19,8,11,1,47
703,10,4,978,50,928,22,47
704,10,5,987,69,918,20,47
705,4,1,4,2,2,0,48
706,4,2,1,0,1,0,48
707,4,3,3,0,3,0,48
708,4,4,2,0,2,1,48
709,4,5,2,0,2,1,48
710,7,1,0,0,0,0,48
711,7,2,0,0,0,3,48
712,7,3,18,12,6,4,48
713,7,4,106,28,78,10,48
714,7,5,0,0,0,0,48
715,10,1,0,0,0,0,48
716,10,2,0,0,0,0,48
717,10,3,231,31,200,8,48
718,10,4,111,32,79,2,48
719,10,5,985,82,903,19,48
720,4,1,0,0,0,0,49
721,4,2,0,0,0,0,49
722,4,3,0,0,0,5,49
723,4,4,0,0,0,2,49
724,4,5,1,0,1,0,49
725,7,1,0,0,0,0,49
726,7,2,51,13,38,3,49
727,7,3,101,23,78,9,49
728,7,4,43,19,24,7,49
729,7,5,0,0,0,0,49
730,10,1,0,0,0,0,49
731,10,2,0,0,0,0,49
732,10,3,989,44,945,12,49
733,10,4,963,57,906,35,49
734,10,5,977,73,904,19,49
735,4,1,0,0,0,0,50
736,4,2,0,0,0,0,50
737,4,3,0,0,0,0,50
738,4,4,3,0,3,0,50
739,4,5,2,0,2,0,50
740,7,1,0,0,0,0,50
741,7,2,0,0,0,0,50
742,7,3,0,0,0,0,50
743,7,4,0,0,0,2,50
744,7,5,0,0,0,0,50
745,10,1,0,0,0,0,50
746,10,2,0,0,0,0,50
747,10,3,979,50,929,16,50
748,10,4,961,70,891,36,50
749,10,5,979,79,900,20,50
750,4,1,0,0,0,0,51
751,4,2,0,0,0,0,51
752,4,3,0,0,0,4,51
753,4,4,0,0,0,4,51
754,4,5,1,0,1,0,51
755,7,1,0,0,0,0,51
756,7,2,1,1,0,0,51
757,7,3,20,10,10,2,51
758,7,4,110,24,86,5,51
759,7,5,0,0,0,0,51
760,10,1,0,0,0,0,51
761,10,2,0,0,0,0,51
762,10,3,994,55,939,15,51
763,10,4,989,66,923,10,51
764,10,5,982,82,900,21,51
765,4,1,0,0,0,0,52
766,4,2,0,0,0,6,52
767,4,3,4,0,4,0,52
768,4,4,3,0,3,0,52
769,4,5,1,0,1,1,52
770,7,1,0,0,0,0,52
771,7,2,0,0,0,0,52
772,7,3,95,20,75,9,52
773,7,4,98,28,70,8,52
774,7,5,0,0,0,0,52
775,10,1,0,0,0,0,52
776,10,2,0,0,0,0,52
777,10,3,978,42,936,22,52
778,10,4,978,53,925,14,52
779,10,5,982,70,912,21,52
780,4,1,0,0,0,0,53
781,4,2,0,0,0,2,53
782,4,3,0,0,0,2,53
783,4,4,4,0,4,0,53
784,4,5,4,0,4,0,53
785,7,1,0,0,0,0,53
786,7,2,51,14,37,3,53
787,7,3,108,21,87,6,53
788,7,4,100,22,78,8,53
789,7,5,0,0,0,0,53
790,10,1,0,0,0,0,53
791,10,2,0,0,0,0,53
792,10,3,973,45,928,27,53
793,10,4,970,65,905,29,53
794,10,5,973,78,895,26,53
795,4,1,0,0,0,0,54
796,4,2,6,0,6,1,54
797,4,3,0,0,0,0,54
798,4,4,2,0,2,1,54
799,4,5,3,0,3,0,54
800,7,1,0,0,0,0,54
801,7,2,20,9,11,1,54
802,7,3,106,24,82,7,54
803,7,4,106,28,78,5,54
804,7,5,0,0,0,0,54
805,10,1,0,0,0,0,54
806,10,2,1,1,0,0,54
807,10,3,986,43,943,14,54
808,10,4,20,12,8,2,54
809,10,5,989,75,914,7,54
810,4,1,0,0,0,0,55
811,4,2,0,0,0,0,55
812,4,3,2,0,2,0,55
813,4,4,0,0,0,0,55
814,4,5,0,0,0,0,55
815,7,1,0,0,0,0,55
816,7,2,0,0,0,2,55
817,7,3,38,11,27,7,55
818,7,4,96,21,75,8,55
819,7,5,0,0,0,0,55
820,10,1,0,0,0,0,55
821,10,2,0,0,0,0,55
822,10,3,489,46,443,6,55
823,10,4,974,67,907,22,55
824,10,5,973,79,894,33,55
825,4,1,0,0,0,0,56
826,4,2,0,0,0,3,56
827,4,3,0,0,0,3,56
828,4,4,2,0,2,0,56
829,4,5,2,0,2,0,56
